"Date","Pitcher","PitcherThrows","PitcherTeam","TaggedPitchType","RelSpeed","InducedVertBreak","HorzBreak","SpinAxis","RelHeight","RelSide","Extension","SpinRate","yt_Efficiency","HomeTeamCode"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.56992563,19.52625613,6.641114789,203.641925,6.230473204,1.447493351,6.000000192,2079.134493,86.82139509,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",85.72398528,19.22041258,6.448957306,203.5909753,6.299904559,1.364849726,6.000000192,2223.910996,83.28586217,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",82.58470265,,,,5.513823903,2.469022431,6.000000192,,,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Fastball",83.68969716,19.16919179,5.528247525,200.3065688,6.264351904,1.67529395,6.000000192,2098.52412,82.38587679,"WWT"
"2024-05-10","Aaron Glickstein","Right","Schaumburg Boomers","Cutter",81.04644164,11.9647108,-2.440722251,171.1448992,6.355464768,2.355037123,6.000000192,2038.954396,42.43732931,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Slider",79.20896382,,,,5.473878714,1.936430126,6.000000192,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",86.93667096,12.98513795,5.170484264,212.4527216,5.578275724,1.961640933,6.254699918,2112.660058,56.97000264,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",88.29921592,13.83687752,7.008455943,216.4101445,5.602070577,2.03683586,5.51944638,2259.192241,63.44239942,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",90.1547882,,,,5.592693442,2.95823551,6.000000192,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Sinker",85.56023146,,,,5.645522455,1.96287613,6.173734301,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",87.55765317,,,,5.486755981,2.172601678,6.129844886,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Sinker",88.7087991,,,,5.407110598,2.237285912,6.002620091,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",83.03705792,2.307640338,-0.307277956,134.424547,5.474368606,2.104664734,6.005969256,390.0081004,17.95252715,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",85.31708111,,,,5.47653641,1.975136647,6.211477637,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Sinker",89.35824984,,,,5.530623034,2.088992011,5.598407732,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Sinker",87.97242244,,,,5.497597398,2.05175968,6.300809364,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Sinker",87.07233895,,,,5.523605579,2.099848707,6.235726631,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Sinker",87.09088352,10.35919787,4.399500907,213.3815867,5.440931659,2.193211823,6.003127209,2274.58858,43.97020679,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",83.81563254,12.52533602,-2.35499662,169.0982926,5.558251106,2.147847502,5.888490285,2553.134413,42.9939409,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",85.73585966,,,,5.434009831,2.167813264,6.067219194,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",84.29100802,4.862291075,-3.925200269,131.7122988,5.481969029,2.15654547,5.355085455,2638.837161,10.16507082,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",83.98319481,,,,5.529254341,2.085629935,6.040482137,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",84.73903688,11.87453346,5.824131706,216.7012434,5.625354678,2.09896083,6.007024601,2209.812212,52.99508016,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",82.79601207,,,,5.517741518,2.227077855,5.788855506,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",84.2150945,7.103668522,-1.697147515,187.1295173,5.58647115,2.104744574,6.019358619,2558.836636,14.76882255,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",86.43057527,11.70249419,4.827371937,211.6921437,5.517199243,2.164024985,5.990159721,2466.833995,44.57483755,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",85.89129106,12.97293493,5.672169516,214.6267118,5.567832582,2.054745243,6.037331382,2304.728724,55.02244528,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",86.40511322,13.70736784,4.598085141,208.8874214,5.503717385,2.045036585,6.141465625,2244.308206,57.66643864,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",83.62986884,,,,5.481579248,2.194489304,5.896043804,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",83.94514526,4.388650709,-1.871092371,137.5484709,5.553792968,1.994051535,6.060707719,2445.429385,10.59761298,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",82.0481967,0.777523046,-1.779429148,9.493512741,5.50665321,2.151081313,6.06791132,2569.090811,11.29634457,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",83.37218446,2.72435706,-2.516931666,55.66062439,5.575400669,2.240649291,5.760599283,2611.559876,3.56181704,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",86.84860659,10.91641698,6.558458002,220.5232192,5.482256687,2.14207205,5.981226263,2305.469909,49.03060171,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Slider",78.82000727,-5.540085309,-7.594585347,33.11125238,5.313321637,2.507511768,5.581029563,2741.556989,42.91091359,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Slider",80.11292803,-3.370939408,-10.36618658,50.81476641,5.33348164,2.537568835,5.725534972,2686.018603,43.37661812,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Sinker",86.11653098,,,,5.381464562,2.068736553,6.084518364,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Slider",76.0411343,-7.034812975,-16.31917773,56.43677838,3.829150556,2.416009477,6.730366351,2251.126368,82.28968388,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Cutter",84.16212744,,,,,,,,,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Slider",78.24987494,-7.589303283,-12.73300753,46.97301442,4.156438268,2.33538863,5.818355845,2224.282973,71.24970758,"WWT"
"2024-05-10","Cristian Lopez","Right","Schaumburg Boomers","Fastball",85.1241368,,,,3.765063394,2.652629323,6.215561764,,,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Fastball",89.73721227,16.4370834,10.21827129,214.8551317,4.715449651,1.083488291,6.318468774,1911.235942,87.77400429,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Fastball",89.74607618,16.82724399,11.34883355,216.889948,4.695533222,1.130322568,6.395995959,2031.101342,91.67891765,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Slider",74.0666354,-3.068300108,-11.37995201,57.32144808,4.47952686,0.996410278,6.35288741,2716.859412,48.94975138,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Fastball",90.06306981,16.15082219,11.84805868,220.4599999,4.591162272,1.258095221,6.357578988,2011.023729,91.08179998,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Fastball",88.08531297,16.63056029,12.68480908,221.924815,4.560097579,1.322320277,5.993722824,2005.55744,92.52008972,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Slider",81.1935834,,,,4.16372012,1.327309775,6.376557656,,,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Slider",81.23606639,-4.385658619,-9.279495772,51.54663938,4.69256981,1.394032922,6.169287368,2729.960789,47.64297632,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Fastball",90.81166516,,,,4.613501275,1.258039987,6.095840356,,,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Slider",80.27483327,-5.03871976,-11.20626299,50.55067129,4.715962097,1.274566135,6.159881104,2868.659053,52.481235,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Changeup",81.85362649,3.883952799,20.3373043,264.3359159,4.308306285,1.325061236,6.206005666,1788.519155,99.79131958,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Slider",80.51293646,-5.283414173,-8.980447573,39.38524469,4.62132218,1.175488838,6.336908039,2872.658066,47.56399426,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Fastball",90.8541188,16.2211211,11.6803938,220.2279561,4.514416871,1.264953189,6.192693599,2039.81251,90.30188491,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Changeup",82.16272872,7.146189868,19.37698024,254.6030576,4.319532402,1.404614509,6.143437988,1738.313085,99.94003542,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Changeup",82.48935732,,,,4.297097304,1.308684448,6.25917376,,,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Changeup",84.76237801,7.899204645,19.30968105,253.037206,4.331687865,1.326626021,6.052722563,1844.406395,98.99529533,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Slider",82.41324993,-1.145378994,-9.476146006,61.30178016,4.652465562,1.292186891,6.336293542,2669.912541,39.4922928,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Slider",81.15365042,,,,4.666944943,1.287278009,6.270316092,,,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Fastball",90.65472239,15.02757715,10.8270066,220.8449916,4.651367048,1.205751281,6.303058195,2049.948734,81.65934679,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Fastball",90.86663787,8.836935123,-23.84663481,107.7829847,4.636225108,1.21377992,6.192664975,3383.355177,98.37908234,"WWT"
"2024-05-10","Dylan Stutsman","Right","Schaumburg Boomers","Changeup",81.57921992,,,,4.621185229,1.096542817,6.154523939,,,"WWT"
"2024-05-10","Jake Joyce","Right","Schaumburg Boomers","Fastball",90.18662752,,,,5.244632192,1.600100945,6.520179693,,,"WWT"
"2024-05-10","Jake Joyce","Right","Schaumburg Boomers","Slider",80.56235323,-4.540352468,-4.207656739,23.97752526,5.242319165,1.539227071,6.458006605,2507.791368,33.99874258,"WWT"
"2024-05-10","Jake Joyce","Right","Schaumburg Boomers","Slider",79.75039001,-1.955586179,-6.917082221,53.57036901,5.280631054,1.627541952,6.385311136,2414.90987,31.36385957,"WWT"
